,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,+2.0 +0.050,+2.0 -0.050,-2.0 +0.049,-2.0 -0.049,,,,,,,,,,,,,,,,,,,,,,
3,,+2.0 -0.050,,,,,-2.0 +0.048,-2.0 -0.048,,,,,,,,,,,,,,,,,,,,
4,,+2.0 +0.050,,,,,,,-2.0 +0.050,-2.0 -0.050,,,,,,,,,,,,,,,,,,
5,,-2.0 -0.049,,,,,+2.0 +0.050,,+2.0 -0.050,,,,,,,,,,,,,,,,,,,
6,,-2.0 +0.049,,,,,,+2.0 +0.050,,+2.0 -0.050,,,,,,,,,,,,,,,,,,
7,,,-2.0 -0.048,,+2.0 -0.050,,,,,,,,,,,,,,,,,,,,,,,
8,,,-2.0 +0.048,,,+2.0 -0.050,,,,,,,,,,,,,,,,,,,,,,
9,,,,-2.0 -0.050,+2.0 +0.050,,,,,,,,,,,,,,,,,,,,,,,
10,,,,-2.0 +0.050,,+2.0 +0.050,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,+2.0 +0.050,+2.0 -0.050,-2.0 +0.049,-2.0 -0.049,,,,,,,,,,,,,
12,,,,,,,,,,,+2.0 -0.050,,,,,-2.0 +0.048,-2.0 -0.048,,,,,,,,,,,
13,,,,,,,,,,,+2.0 +0.050,,,,,,,-2.0 +0.050,-2.0 -0.050,,,,,,,,,
14,,,,,,,,,,,-2.0 -0.049,,,,,+2.0 +0.050,,+2.0 -0.050,,,,,,,,,,
15,,,,,,,,,,,-2.0 +0.049,,,,,,+2.0 +0.050,,+2.0 -0.050,,,,,,,,,
16,,,,,,,,,,,,-2.0 -0.048,,+2.0 -0.050,,,,,,,,,,,,,,
17,,,,,,,,,,,,-2.0 +0.048,,,+2.0 -0.050,,,,,,,,,,,,,
18,,,,,,,,,,,,,-2.0 -0.050,+2.0 +0.050,,,,,,,,,,,,,,
19,,,,,,,,,,,,,-2.0 +0.050,,+2.0 +0.050,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,+2.0 +0.050,+2.0 -0.050,-2.0 +0.049,-2.0 -0.050,,,,
21,,,,,,,,,,,,,,,,,,,,+2.0 -0.050,,,,,-2.0 +0.049,-2.0 -0.049,,
22,,,,,,,,,,,,,,,,,,,,+2.0 +0.050,,,,,,,-2.0 +0.050,-2.0 -0.050
23,,,,,,,,,,,,,,,,,,,,-2.0 -0.049,,,,,+2.0 +0.050,,+2.0 -0.050,
24,,,,,,,,,,,,,,,,,,,,-2.0 +0.050,,,,,,+2.0 +0.049,,+2.0 -0.048
25,,,,,,,,,,,,,,,,,,,,,-2.0 -0.049,,+2.0 -0.050,,,,,
26,,,,,,,,,,,,,,,,,,,,,-2.0 +0.049,,,+2.0 -0.049,,,,
27,,,,,,,,,,,,,,,,,,,,,,-2.0 -0.050,+2.0 +0.050,,,,,
28,,,,,,,,,,,,,,,,,,,,,,-2.0 +0.050,,+2.0 +0.048,,,,
